sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
中壢,桃園市,16,,良好,,0.18,13.1,13.9,12,5,5.5,7.4,1.9,0.6,167,"2024/06/25 04:00:00",0.4,5,16,1,121.221667,24.953278,68
竹山,南投縣,23,,良好,0.2,0.1,3,6.2,21,6,4.6,5.4,0.8,0.5,52,"2024/06/25 04:00:00",0.1,7.2,19,0,120.677306,23.756389,69
永和,新北市,25,,良好,0.9,0.13,13.7,12.5,17,6,2.7,4.1,1.3,1.1,136,"2024/06/25 04:00:00",0.3,7.6,14,1,121.516306,25.017,70
復興,高雄市,23,,良好,1.5,0.09,12.2,16.4,11,10,11.8,12.1,0.3,0.7,275,"2024/06/25 04:00:00",0.1,7.1,9,1,120.312017,22.608711,71
埔里,南投縣,35,,良好,1.2,0.17,3.1,8.9,21,12,3.4,4.7,1.3,0.9,326,"2024/06/25 04:00:00",0.1,10.7,17,1,120.967903,23.968842,72
馬祖,連江縣,25,,良好,0.3,0.09,31.1,27.4,10,1,2,2.7,0.7,0.4,320,"2024/06/25 04:00:00",0,2.6,14,0,119.93149378,26.15188416,75
金門,金門縣,20,,良好,0.8,0.06,7.6,12.6,0,3,12.9,13.8,0.9,1.3,204,"2024/06/25 04:00:00",0,2.2,4,0,118.312256,24.432133,77
馬公,澎湖縣,18,,良好,0.5,0.08,16.4,19.8,7,4,5,7.1,2,1.5,175,"2024/06/25 04:00:00",0.1,4.4,8,1,119.566158,23.569031,78
關山,臺東縣,18,,良好,0,0.06,7,14.8,20,1,2.2,2.8,0.6,1,317,"2024/06/25 04:00:00",0,3.4,18,0,121.161933,23.045083,80
麥寮,雲林縣,24,,良好,1.8,0.16,4.7,8.7,25,9,8.6,10.2,1.6,1.7,170,"2024/06/25 04:00:00",0.1,7.5,21,1,120.251825,23.753506,83
富貴角,新北市,25,,良好,0.4,0.11,20.9,16.2,22,7,2.3,2.2,0,1.1,146,"2024/06/25 04:00:00",0.1,7.6,21,0,121.53656894,25.29681695,84
大城,彰化縣,33,,良好,0.9,0.1,1.6,8.3,23,8,9.3,11.6,2.2,0.4,197,"2024/06/25 04:00:00",0.1,10.1,26,1,120.26964167,23.85493056,85
彰化（員林）,彰化縣,24,,良好,1.4,0.07,15.5,15.3,15,5,,,,0.5,103,"2024/06/25 04:00:00",0.1,7.3,16,1,120.56373,23.96117,201
高雄（湖內）,高雄市,26,,良好,1.4,0.16,5,12.9,17,6,7.4,10.8,3.4,1.3,78,"2024/06/25 04:00:00",0.1,8,15,0,120.24535,22.87985556,202
臺南（麻豆）,臺南市,17,,良好,0.2,0.09,7.9,9.2,16,4,4.6,5.8,1.2,0.2,126,"2024/06/25 04:00:00",0.1,5.2,17,0,120.24583056,23.17904722,203
屏東（琉球）,屏東縣,25,,良好,0.4,0.07,19.4,22.3,14,5,0.7,1.3,0.5,1,266,"2024/06/25 04:00:00",0,7.8,12,0,120.37722,22.35222,204
新北(樹林),新北市,28,,良好,0.2,0.15,6.1,8.4,23,7,5.6,8.7,3.1,0.2,33,"2024/06/25 04:00:00",0.2,8.5,21,0,121.38352778,24.94902778,311
大甲（日南國小）,臺中市,13,,良好,0.2,0.16,11.1,14,11,2,6.1,6.3,0.2,1,140,"2024/06/25 04:00:00",0.1,2.7,11,0,120.65525382,24.39017512,312
屏東(枋山),屏東縣,13,,良好,0.2,0.03,16.9,14,9,3,1.1,1.7,0.5,2.3,89,"2024/06/25 04:00:00",0,3.2,11,0,120.651472,22.260899,313
